customer_name,contact_email,score
Doaa Nabil Inc,doaa901@example.com,0.96
Fatma Mostafa Ltd,fatma661@example.com,0.96
Nour Younes Inc,nour998@example.com,0.96
Huda Ali Co,huda645@example.com,0.94
Mohamed Ibrahim Group,mohamed569@example.com,0.94
Laila Fathy Group,laila9@example.com,0.92
Youssef Hussein Group,youssef140@example.com,0.92
Mina Mahmoud LLC,mina577@example.com,0.92
Mina Mostafa Group,mina414@example.com,0.91
Laila Fathy Ltd,laila754@example.com,0.91
Omar Younes Systems,omar23@example.com,0.87
Sara Ali Co,sara644@example.com,0.86
Laila Ali Inc,laila954@example.com,0.85
Mina Ibrahim Inc,mina614@example.com,0.84
Doaa Hussein Ltd,doaa227@example.com,0.84
Sara Adel Group,sara376@example.com,0.83
Sara Mahmoud Co,sara707@example.com,0.82
Doaa Younes Inc,doaa537@example.com,0.82
Sara Ibrahim LLC,sara342@example.com,0.82
Hassan Samir Systems,hassan857@example.com,0.8
Laila Ali Corp,laila110@example.com,0.8
Mohamed Fathy Group,mohamed825@example.com,0.76
Mina Samir Group,mina709@example.com,0.75
Rana Adel LLC,rana796@example.com,0.75
Hassan Ali LLC,hassan228@example.com,0.74
Sara Adel Group,sara824@example.com,0.74
Ahmed Samir Systems,ahmed86@example.com,0.72
Ali Fathy Inc,ali105@example.com,0.72
Huda Adel Solutions,huda26@example.com,0.7
Ahmed Nabil Group,ahmed464@example.com,0.68
Omar Ali Corp,omar998@example.com,0.68
Nour Adel Systems,nour521@example.com,0.68
Mina Adel Ltd,mina450@example.com,0.67
Huda Ibrahim LLC,huda329@example.com,0.66
Huda Nabil Group,huda389@example.com,0.65
Hassan Hussein Solutions,hassan187@example.com,0.63
Laila Younes Corp,laila451@example.com,0.62
Laila Adel Corp,laila33@example.com,0.61
Ali Ibrahim Co,ali611@example.com,0.59
Mohamed Hussein Solutions,mohamed692@example.com,0.58
Nour Nabil Group,nour297@example.com,0.56
Kareem Younes Inc,kareem992@example.com,0.56
Laila Ibrahim Ltd,laila202@example.com,0.54
Ali Adel LLC,ali481@example.com,0.54
Mina Fathy Group,mina118@example.com,0.53
Hassan Fathy Ltd,hassan642@example.com,0.52
Kareem Mostafa Ltd,kareem246@example.com,0.51
Fatma Ali Corp,fatma202@example.com,0.5
Mina Ali LLC,mina507@example.com,0.5
Nour Younes Ltd,nour41@example.com,0.44
Doaa Ibrahim Solutions,doaa303@example.com,0.44
Laila Samir Corp,laila859@example.com,0.44
Youssef Younes Ltd,youssef985@example.com,0.42
Fatma Mostafa Inc,fatma589@example.com,0.41
Laila Mahmoud Solutions,laila384@example.com,0.4
Omar Fathy Corp,omar940@example.com,0.4
Mohamed Adel LLC,mohamed461@example.com,0.39
Ahmed Nabil Inc,ahmed319@example.com,0.39
Youssef Adel LLC,youssef740@example.com,0.38
Doaa Ibrahim Co,doaa181@example.com,0.37
Huda Samir Inc,huda959@example.com,0.35
Youssef Samir Corp,youssef837@example.com,0.35
Mina Ali Co,mina681@example.com,0.34
Fatma Ibrahim Solutions,fatma203@example.com,0.3
Laila Ali Corp,laila918@example.com,0.3
Ahmed Ali Solutions,ahmed860@example.com,0.3
Mohamed Ali Group,mohamed624@example.com,0.3
Hassan Hussein Solutions,hassan196@example.com,0.28
Ali Fathy Ltd,ali556@example.com,0.27
Ahmed Samir Co,ahmed429@example.com,0.25
Kareem Hussein Systems,kareem734@example.com,0.25
Ali Nabil Group,ali148@example.com,0.24
Huda Samir Systems,huda244@example.com,0.24
Hassan Adel Ltd,hassan35@example.com,0.24
Laila Mostafa Systems,laila517@example.com,0.23
Omar Nabil Ltd,omar146@example.com,0.23
Mohamed Hussein Co,mohamed727@example.com,0.23
Hassan Hussein Solutions,hassan623@example.com,0.21
Mina Fathy Inc,mina502@example.com,0.19
Laila Fathy Co,laila256@example.com,0.17
Kareem Fathy Co,kareem179@example.com,0.16
Huda Mostafa Systems,huda986@example.com,0.16
Mina Mahmoud LLC,mina652@example.com,0.14
Mina Adel Systems,mina673@example.com,0.14
Mohamed Mostafa Ltd,mohamed232@example.com,0.13
Mohamed Younes Ltd,mohamed820@example.com,0.13
Ahmed Nabil LLC,ahmed471@example.com,0.12
Ali Nabil Group,ali959@example.com,0.11
Hassan Hussein Systems,hassan406@example.com,0.11
Laila Younes Group,laila928@example.com,0.1
Mina Younes LLC,mina288@example.com,0.09
Sara Ibrahim Ltd,sara30@example.com,0.08
Omar Nabil Co,omar669@example.com,0.08
Nour Samir Solutions,nour826@example.com,0.06
Mina Ibrahim Co,mina74@example.com,0.06
Sara Adel Corp,sara415@example.com,0.05
Mohamed Mostafa LLC,mohamed730@example.com,0.04
Mohamed Adel Corp,mohamed709@example.com,0.01
Sara Ibrahim Group,sara389@example.com,0.01
Kareem Hussein Ltd,kareem707@example.com,0.01
